Quote,Author,Book,Tags
“Nie należy się gniewać na bieg wypadków. Nic ich to bowiem nie obchodzi.”,"Marcus Aurelius,",Rozmyślania. Do siebie samego,"aurelius, stoicism"
“Pursuing similar results for dissimilar people will make fools of kings and kings of fools.”,"Ioannis Loukopoulos,",Kaleidoscope,"phiosophy, results, stoicism"
"“One will never be able to control all things that concern an endeavor, but the magic is in riding the wave.”","Ioannis Loukopoulos,",Kaleidoscope,"adaptation, philosophy, stoicism"
"“Strive to articulate your wants loudly so they become interwoven with reality, more than thoughts.”","Ioannis Loukopoulos,",Kaleidoscope,"philosophy, reality, stoicism"
"“Verily, life is a series of championships and the joy is to be found in playing the game.”","Ioannis Loukopoulos,",Kaleidoscope,"champion, philosophy, stoicism"
"“We should refrain from attempting to change things to fit our narrative of explaining the world, and start changing this narrative to better host the things we experience.”","Ioannis Loukopoulos,",Kaleidoscope,"experiences, philosophy, stoicism"
“The reaction that art produces in you has more to do with you than it does with art.”,Ioannis Loukopoulos,N/A,"art, philosophy, stoicism"
"“A good story has no end, it continues being a part of reality well after its last point by forming a union with us.”","Ioannis Loukopoulos,",Kaleidoscope,"philosophy, stoicism, stories"
"“The world is asking us the questions, and it couldn’t care less what we expect from it. But here’s the good news: real meaning doesn’t come from what the world gives you, but how you respond to it.”","Phil Van Treuren,",The Little Book of Stoic Quotes: Philosophy for a Meaningful and Courageous Life,"inspirational, stoic-philosophy, stoic-quotes, stoicism, stoicism-quotes"
“Birds weren’t given wings just to walk everywhere . . . and you weren’t born with resilience and a beautiful mind just to have an easy life.”,"Phil Van Treuren,",The Little Book of Stoic Quotes: Philosophy for a Meaningful and Courageous Life,"inspirational, stoic-philosophy, stoic-quotes, stoicism, stoicism-quotes"
“Life is short but life is long”,Seneca,N/A,stoicism
"“I am not like the Gods! That was a painful thrust; I'm like the worm that burrows in the dust, Who, as he makes of dust his meager meal, Is crushed and buried by a wanderers heel Is it not dust that stares from every rack And narrows down this vaulting den? This moth's world full of bric-a-brac In which I live as in a pen? Here I should find for what I care? Should I read in a thousand books, maybe, That men have always suffered everywhere, Though now and then some man lived happily?- Why, hollow skull, do you grin like a faun? Save that your brain, like mine, once in dismay Searched for light day, but foundered in the heavy dawn”","Johann Wolfgang von Goethe,","Faust, First Part","goethe, occult, philosophy, stoicism, theology"
"“Death is nothing to us. When we exist, death is not; and when death exists, we are not.”",Epicurus,N/A,stoicism
“You are more likely to feel an inner disturbance if you set your heart and mind on something that is beyond your control to obtain.”,"Brigid Delaney,",Reasons Not to Worry: How to Be Stoic in Chaotic Times,"philosophy, stoicism, worry"
"“How much longer are you going to wait to demand the best for yourself?"" he asked her, as she sat quietly in the back.”","Ryan Holiday,",The Girl Who Would Be Free: A Fable About Epictetus,stoicism
“You can also commit injustice by doing nothing.”,Marcus Aurelius,N/A,"inspirational, philosophy-of-life, stoicism, truths"
“The closest we can get to “winning” at life is to never give up.”,"Ioannis Loukopoulos,",Kaleidoscope,"life, philosophy, stoicism"
"“There will come a day when i will be able to resist and control my emotions... And when that day comes, i will know that i truly made it,”",Plandertaker,N/A,stoicism
"“To be like the rock that the waves keep crashing over. It stands unmoved and the raging of the sea falls still around it. It's unfortunate that this has happened. No. It's fortunate that this has happened and I've remained unharmed by it - not shattered by the present or frightened of the future. It could have happened to anyone. But not everyone could have remained unharmed by it. Why treat the one as a misfortune rather than the other as fortunate? Can you really call something a misfortune that doesn't violate human nature? Or do you think something that's not against nature's will can violate it? But you know what its will is. Does what's happened keep you from acting with justice, generosity, self-control, sanity, prudence, honesty, humility, straightforwardness, and all the other qualities that allow a person's nature to fulfil itself? So remember this principle when something threatens to cause you pain: the thing itself was no misfortune at all; to endure it and prevail is great good fortune.”","Marcus Aurelius,",Meditations,"philosophy, stoicism"
"“It matters not how long the action is spun out, but how good the acting is”",Seneca,N/A,"seneca, stoicism"
“Perchance some day the memory of this sorrow Will even bring delight”,Seneca,N/A,"seneca, stoicism"
"“Speak the truth and above all claim the things you want, at least to yourself.”","Ioannis Loukopoulos,",Kaleidoscope,"philosophy, stoicism, truth"
“The crossing of a blue bridge which bystanders who cannot distinguish from the blue of the horizon deem invisible.”,"Ioannis Loukopoulos,",Oculus,"philosophy, sight, stoicism"
"“me dulcis saturet quies; obscuro positus loco leni perfruar otio, nullis nota Quiritibus aetas per tacitum fluat. sic cum transierint mei nullo cum strepitu dies. plebeius moriar senex. illi mors gravis incubat qui, notus nimis omnibus, ignotus moritur sibi.”","Seneca,",Thyestes,"flow-of-life, humility, knowledge-of-self, stoicism, temperance"
"“No action in the human context will succeed without reference to the divine, nor vice versa.”","Marcus Aurelius,",Meditations,"philosophy, religion, stoic, stoicism"
"“He is a slave.'' But shall that stand in his way? Show me a man who is not a slave; one is a slave to lust, another to greed, another to ambition, and all men are slaves to fear.”","Seneca,",Letters from a Stoic (Collins Classics) Paperback – 17 September 2020,"philosophy, seneca, stoicism"
"“The Iliad consists of nothing more than impressions and the use of impressions. An impression prompted Paris to carry off the wife of Menelaus, and an impression prompted Helen to go with him. If an impression, then, had prompted Menelaus to feel that it was a gain to be deprived of such a wife, what would have come about? Not only the Iliad would have been lost, but the Odyssey too!”",Epictetus,N/A,"homer, iliad, logic, odyssey, stoicism, war"
"“We should remember that even Nature's inadvertence has its own charm, its own attractiveness. Take the baking of bread. The loaf splits open here and there, and those very cracks, in one way a failure of the baker's profession, somehow catch the eye and give particular stimulus to our appetite.”","Marcus Aurelius,",Meditations,"bread, multigrain, stoicism, transience-of-life, yum"
"“In an era characterized by incessant noise and constant distraction, we often find our minds pulled from one thought to another like a leaf in an October breeze. We are so preoccupied by modern living that we become totally disconnected from our ancient human roots in the natural world.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“The afternoon presents an intersection where the momentum that we have gained in the morning may be either sustained or lost – where we can choose to either build on the morning’s foundations and embrace our challenges, or allow the stress and frustration of the day to ruin all our hard work.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
“The only good and evil in your life lies within you – in your choices.”,"Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
“Humans are not made for sitting at a desk all day. We have been evolving for millions of years to hunt animals through dense forest and vast plains. To walk huge distances in search of water. To spend hours searching for edible fruit to bring home to our families. The sedentary lifestyle many of us lead these days is no more than a by-product of the last few centuries.”,Alexander Zenon,N/A,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
“Our minds are a sanctuary; a safe haven which is totally impregnable to the outside world. It is only when we allow external problems and anxieties to enter our mind that this sanctuary becomes vulnerable.”,"Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“To the Stoics, a good life meant living in accordance with nature, both universal nature – accepting the world for what it is, not resisting it because we think it should be different – and our own nature as human beings.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
“We human beings are not hive animals. We aren’t like bees or ants who just work constantly for the good of the community.”,"Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“Tomorrow will arrive, come what may. The sun will rise, as it has always done, and will set in the evening when nature commands it.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“The events that may befall you tomorrow are not new or novel, and the emotions that you will experience have been felt by countless others throughout the crashing torrent of time.  They survived. Why can’t you?”",Alexander Zenon,N/A,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“There will come a day when i will be able to resist and control my emotions... And when that day comes, i will know that i truly made it.”",Plandertaker,N/A,stoicism
"“Time is a river, a violent current of events, glimpsed once and already carried past us, and another one follows and is gone.”",Marcus Aurelious,N/A,stoicism
“Externals are nothing to a stoic. The falsehoods and artificial limitations of human society are nothing to proponents of the theater principle”,Lashon Byrd,N/A,"humanity, humanity-and-society, inspirational, life, philosophy, society, stoicism, stoicism-quotes"
"“Rasa susah, khawtir, cemas karena peristiwa eksternal sebernarnya tidak datang dari peristiwa hidup itu sendiri, tetapi dari persepsi dan opini kita sendiri, dan sepenuhnya dibawah kendali kita.”","Henry Manampiring,",Filosofi Teras,stoicism
"“As the still dawn breaks and first light graces the horizon, we humans are presented with tremendous opportunity. We are gifted with a fresh start, a blank canvas upon which we can paint however we choose.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“When we first wake up our minds are clear, which makes this the opportune time to direct our focus inwards, to organize our thoughts and to set our daily intentions through a few moments of meditation. Our duties and obligations have not yet begun to crowd our schedule, and the clarity of the dawn creates an open, undistracted mental space.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“By meditating on our thoughts, feelings, and desires, we are encouraging a sense of self-awareness and self-mastery. We observe the whimsical and impulsive movements of our mind without getting caught up in them, and in doing so we develop a greater understanding of ourselves.”","Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
“We are existing in a thin sliver of light between two potentially infinite portions of darkness.”,"Alexander Zenon,",The Stoic Handbook: A Practical Guide for Modern Life,"contemporary, inspirational, meditation, motivational, nonfiction, philosophy, self-help, spirituality, stoic, stoicism"
"“...That's exactly it, my dear friend,'' the future rector had once told him regarding Existentialism, when he was already doing postgraduate work in psychology to achieve his doctorate, ''for this is nothing but a noögenic neuroses due to which such people end up feeling as if they were lost in space and time.'' ''That which the Greek Stoics used to call agnoia, isn't it, or the spiritual ignorance of Man,'' the future professor had answered while they were in the university canteen having a coffee together. ''Correct. In fact, noögenic neuroses do not emerge from conflicts between drives and instincts but rather from spiritual and existential problems...”","Anton Sammut,",Paceville and Metanoia,"consciousness, cosmic-consciousness, existentialism, maltese, philosophy, psychology, spiritual, spirituality, stoicism, stoics"
“The only way to know what lies ahead is by continuing onward.”,Shonjuk Chakma,N/A,"endeavor, knowledge, moving-forward, philosophy, stoic, stoicism, strive, struggle, truth, wisdom"
"“True happiness is to enjoy the present, without anxious dependence upon the future.”","Seneca,",Letters from a Stoic,"seneca, stoicism"
“Those who courageously choose to confront extreme hardships perceive their experience differently than others. They have the ability to envision something beyond the difficulties they encounter. Perhaps a glimmer of hope? Or perhaps another form of adversity? The truth is that the only way to know what lies ahead is by continuing onward.”,Shonjuk Chakma,N/A,"endeavor, knowledge, moving-forward, philosophy, stoic, stoicism, strive, struggle, truth, wisdom"
“We cannot believe in the fundamental goodness of the world until and unless we ourself become that goodness.”,Neel Burton,N/A,"ethics, problem-of-evil, stoicism"
"“You never know what will be the consequence of misfortune; or, you never know what will be the consequences of good fortune”",Allan Watts,N/A,stoicism
"“In life our first job is this, to divide and distinguish things into two categories: externals that I cannot control, but the choices I make with regard to them I do control. Where will I find food and bad? In me, in my choices.”",Epictetus,N/A,"inspirational, philosophy, stoicism"
“Associate with those who will make a better of man. Welcome those whom yourself can improve. Men learn while they teach.”,Seneca,N/A,"inspirational, philosophy, stoicism"
"“For when you have subjected to externals what is your own, then be a slave and do not resist, and do not sometimes choose to be a slave, and sometimes not choose, but with all your mind be one or the other.”","Epictetus,",Discourses,stoicism
"“[I]f you gape after externals, you must of necessity ramble up and down in obedience to the will of your master. And who is the master? He who has the power over the things which you seek to gain or try to avoid.”","Epictetus,",The Discourses,stoicism
"“The part of life we really live is small.  For all the rest of existence is not life, but merely time.”","Seneca,",On the Shortness of Life,"philosophy, stoicism"
"“Add nothing of your own from within, and that's an end of it.”","Marcus Aurelius,",Meditations,stoicism
"“People look for retreats for themselves, in the country, by the coast, or in the hills. There is nowhere that a person can find a more peaceful and trouble-free retreat than in his mind. So constantly give yourself this retreat, and renew yourself.”","Maya Bennett ,",STOICISM: The Simplistic Timeless Stoic Art of Better Living with Ancient Wisdom,"stoic-philosophy, stoicism, stoicism-quotes"
“Kindness has become so rare that it provokes perplexity about what's sincere and what's deceitful.”,Shonjuk Chakma,N/A,"kind, kindness, life, perplexity, philosophy, rare, stoic, stoicism, truth, wisdom"
"“Having in mind not how bravely I was capable of dying but how far from bravely he was capable of bearing the loss, I commanded myself to live.”","Seneca,",Letters from a Stoic,"philosophy, stoic, stoicism"
"“Thinking of departed friends is to me something sweet and mellow. For when I had them with me it was with the feeling that I was going to lose them, and now that I have lost them I keep the feeling that I have them with me still.”","Seneca,",Letters from a Stoic,"death, stoicism"
“Everywhere means nowhere.”,"Seneca,",Letters From A Stoic | Moral Letters To Lucilius,"philosophy, steadiness, stoicism, way-of-life"
"“[A] man ought to be prepared in a manner for this also, to be able to be sufficient for himself and to be his own companion. [...] [S]o ought we also to be able to talk with ourselves, not to feel the want of others also, not to be unprovided with the means of passing our time; to observe the divine administration and the relation of ourselves to everything else; to consider how we formerly were affected toward things that happen and how at present; what are still the things which give us pain; how these also can be cured and how removed; if any things require improvement, to improve them according to reason.”","Epictetus,",The Discourses,stoicism
“It is only when you fall that you learn whether you can fly.”,"Ioannis Loukopoulos,",Kaleidoscope,"life, philosophy, stoicism"
"“You will only get one shot at today. You have only twenty-four hours with which to take it. And then it is gone and lost forever. Will you fully inhbit all of today? Will you call out, ""I've got this,"" and do your very best to be your very best? What will you manage to make of today before it slips from you fingers and becomes the past? When someone asks you what you did yesterday, do you really want the answer to be ""nothing""?”","Ryan Holiday,","The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",stoicism
"“Don’t let the force of an impression when it first hits you knock you off your feet; just say to it, “Hold on a moment; let me see who you are and what you represent. Let me put you to the test.” ~ Epictetus”","Maya Bennett,",STOICISM: The Simplistic Timeless Stoic Art of Better Living with Ancient Wisdom,"epictetus, epictetus-stoicism, stoic-philosophy, stoicism, stoicism-quotes"
"“Be careful to leave your sons well instructed rather than rich, for the hopes of the instructed are better than the wealth of the ignorant.” ~ Epictetus”","Maya Bennett ,",STOICISM: The Simplistic Timeless Stoic Art of Better Living with Ancient Wisdom,"stoic, stoicism"
"“Let us too overcome all things, with our reward consisting not in any wreath or garland, not in trumpet-calls for silence for the ceremonial proclamation of our name, but in moral worth, in strength of spirit, in a peace that is won for ever once in any contest fortune has been utterly defeated.”","Seneca,",Letters from a Stoic,"philosophy, stoic, stoic-philosophy, stoicism"
"“The most terrifying ghosts that haunt us are the ones of our dead dreams, especially if we were the murderers.”","Ioannis Loukopoulos,",Kaleidoscope,"philosophy, self-help, stoicism"
“How does one go about persuading the rain to stop?”,"Ioannis Loukopoulos,",Oculus,"philosophy, self-help, stoicism"
“The most beautiful things come from the hardest conditions.”,Ezedi Souvenir,N/A,"business, inspirational, motivational-quotes, stoicism"
"“Take pride in your courage for it leads to difficult situations which, once overcome, leave you more than what you were before. Only in the most extreme of pressures does carbon become diamond”","Ioannis Loukopoulos,",Kaleidoscope,"courage, kaleidoscope, philosophy, pride, stoicism"
"“Do not underestimate the quiet and laid-back individuals because displaying stoicism, at certain times, is a superpower.”",Robin S. Baker,N/A,"advice, gifts, laid-back, quiet, stoicism, superpowers, underestimate-quotes, wisdom"
"“Me? I'm a Stoic. Every time my eyes are opened, I am eager to see the world anew.”","Ioannis Loukopoulos,",Oculus,"philosophy, self-help, stoicism"
"“Milo's Way- A Haiku Strength sought in small steps, Like Milo's calf on shoulders, Grow with steady will.”","Amogh Swamy,",On My Way To Infinity: A Seeker's Poetic Pilgrimage,"fitness, growth, haiku, inspirational, mental-toughness, motivational, self-improvement, stoicism, strength"
"“You are scared of dying - and, tell me, is the kind of life you lead really any different from being dead?”","Seneca,",Letters from a Stoic,"death, philosophy, stoic, stoicism"
“[...] Say good-bye at last to those deceptive prizes more precious to those who hope for them than to those who have won them.”,Seneca,N/A,"philosophy, stoic, stoicism"
"“It is not that we have a short time to live, but that we waist a lot of it. Life is long enough, and a sufficient generous amount has been given to us for the highest achievements if it were all well invested. But when it is wasted in heedless luxury and spent on no good activity, we are forced at last by death's final constraint to realize that it has passed away before we know it was passing”",Seneca,N/A,"seneca, stoic, stoicism, stoicism-quotes"
“Do not trust her seeming calm; in a moment the sea is moved to its depths.”,"Seneca,",Letters from a Stoic,"philosophy, stoic, stoicism"
"“If it should ever happen to you to be turned to externals in order to please some person, you must know that you have lost your purpose in life.”","Epictetus,",Discourse of Epictetus: Selections,"philosophy, stoicism"
“Every life without exception is a short one.”,"Seneca,",Letters from a Stoic,"philosophy, stoicism"
"“The best way to have people laugh with you and not at you, is to get ahead of them and laugh at yourself first.”",Nate Hamon,N/A,"depression, happiness, humour, inspiration, joy, laughter, life, stoicism"
"“So - to the best of your ability - demonstrate your own guilt, conduct inquiries of your own into all the evidence against yourself. Play the part first of prosecutor, then of judge, and finally of pleader in mitigation. Be harsh with yourself at times.”",Seneca,N/A,"philosophy, stoicism"
"“It was the first and most striking characteristic of Socrates never to become heated in discourse, never to utter an injurious or insulting word - on the contrary, he persistently bore insult from others and thus put an end to the fray.”",Epictetus,N/A,"philosophy, stoicism"
"“Don’t take things too personally. Critique, failures, unwarranted advice - take it to mind, not to heart.  What you hear out of the mouths of others are opinions and perspectives. It’s often worth listening to opinions and perspectives, but it’s not a requisite that you take them on board.”",Nate Hamon,N/A,"criticism, failure, friends, health, judgement, mental-health, opinion, stoicism, success"
“Success is not a stamp of approval given by others.”,"Nate Hamon,",Terra Dark,"contentment, happiness, inspirational, self-worth, stoicism, success, transcendence"
"“Do you consider yourself a nobody? What weight does that label even have? It’s a silly label. As silly as the label 'somebody'. Silly and non-adhesive.  First off, to be thought of as a nobody someone has to be thinking of you in the first place.  Second, being a so-called 'nobody' doesn’t make you irrelevant. We are all relevant to somebody else but unfortunately, we can lose sight of our most germane and important relationships when we chase the approval of people we don’t even know.”","Nate Hamon,",Terra Dark,"fame, family, friendships, happiness, life, philosophy, stoicism, success"
“I am acting on behalf of later generations. I am writing down a few things that may be of use to them.”,"Seneca,",Letters from a Stoic,"philosophy, seneca, stoic, stoicism"
"“As for us, we face things that are not nearly as intimidating, and then we promptly decide we're screwed.  This is how obstacles become obstacles.  In other words, through our perception of events, we are complicit in the creation-as well as the destruction-of every one of our obstacles. There is no good or bad without us, there is only perception. There is the event itself and the story we tell ourselves about what it means.”","Ryan Holiday,",51 Most Powerful Prayers,"obstacles, perception, philosophy, stoicism"
"“Every hour of the day, countless situations arise that call for advice, and for that advice we have to look to philosophy.”","Seneca,",Letters from a Stoic,"philosophy, stoic, stoicism"
"“It's only when you're breathing your last that the way you've spent your time will become apparent, ""I accept the terms, and feel no dread of the coming judgment.”","Seneca,",Letters from a Stoic,"philosophy, stoicism"
"“Which of us does not admire what Lycurgus the Spartan did? A young citizen had put out his eye, and been handed over to him by the people to be punished at his own discretion. Lycurgus abstained from all vengeance, but on the contrary instructed and made a good man of him. Producing him in public in the theatre, he said to the astonished Spartans: ""I received this young man at your hands full of violence and wanton insolence; I restore him to you in his right mind and fit to serve his country.”",Epictetus,N/A,"philosophy, politics, stoicism"
"“If what charms you is nothing but abstract principles, sit down and turn them over quietly in your mind: but never dub yourself a Philosopher, nor suffer others to call you so. Say rather: He is in error; for my desires, my impulses are unaltered. I give in my adhesion to what I did before; nor has my mode of dealing with the things of sense undergone any change.”",Epictetus,N/A,"philosophy, politics, stoicism"
"“Even as the Sun doth not wait for prayers and incantations to rise, but shines forth and is welcomed by all: so thou also wait not for clapping of hands and shouts and praise to do thy duty; nay, do good of thine own accord, and thou wilt be loved like the Sun.”",Epictetus,N/A,"philosophy, stoicism"
“Amor Fati”,Epictetus,N/A,stoicism
"“Will you never come to a realisation of who you are, what you have been born for and the purpose for which the gift of vision was made in our case?”","Epictetus,",Discources and Selected Writings,stoicism
“There was an iron simplicty in the seer. He was like a monolith of logic standing against waves of angry nonsense.”,John Steinbeck,N/A,"endurance, stoicism"
"“Reflect that nothing merits admiration except the spirit, the impressiveness of which prevents it from being impressed by anything.”","Seneca,",Letters from a Stoic,"philosophy, seneca, stoicism"
"“We need to set our affections on some good man and keep him constantly before our eyes, so that we may live as if he were watching us and do everything as if he saw what we were doing.”","Seneca,",Letters from a Stoic,"philosophy, stoic, stoicism"
“The ability to do without a kingdom is a kingdom.”,"Seneca,",Six Tragedies,"stoicism, thyestes"
“Consider above all else whether you've advanced in philosophy or just in actual years.”,"Seneca,",Letters from a Stoic,"philosophy, stoicism"
"“Life is a series of problems we must navigate with grace - one problem solved, another arises, again and again until we die.”","Pamela Anderson, Love, Pamela",N/A,"life, stoicism"
"“Draconus staggered up. 'Pearl, my friend, I have come to say goodbye. And to tell you I am sorry.' 'What saddens you?' the demon asked. 'I am sorry, Pearl, for all of this. For Dragnipur. For the horror forged by my own hands. It was fitting, was it not, that the weapon claimed its maker? I think, yes, it was. It was.' He paused, and then brought both hands up to his face. For a moment it seemed he would begin clawing his beard from the skin beneath it. Instead, the shackled hands fell away, down, dragged by the weight of the chains. 'I too am sorry,' said Pearl. 'To see the end of this.' 'What?' 'So many enemies, all here and not one by choice. Enemies, and yet working together for so long. It was a wonderous thing, was it not, Draconus? When necessity forced each hand to clasp, to work as one. A wonderous thing.' The warrior stared at the demon. He seemed unable to speak.”","Steven Erikson,",Toll the Hounds,"malazan, perspective, stoicism"
"“As for us, we face things that are not nearly as intimidating, and then we promptly decide we're screwed.  This is how obstacles become obstacles.  In other words, through our perception of events, we are complicit in the creation-as well as the destruction-of every one of our obstacles. There is no good or bad without us, there is only perception. There is the event itself and the story we tell ourselves about what it means. - Book: ""The Obstacle is the Way”","Ryan Holiday,",The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph,"obstacles, perception, philosophy, stoicism"
"“Everything that we see is changing and will soon be gone, and we should bear in mind how many things have already changed over time, like the waters of streams flowing ceaselessly past—an idea that we can call the contemplation of impermanence.”","Donald Robertson,",How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,stoicism
“Ill Fortune is of more use to men than Good Fortune.”,"Boethius,",The Consolation of Philosophy,"bad-luck, stoicism"
"“Show me one who is sick and yet happy, in peril and yet happy, dying and yet happy, in exile and happy, in disgrace and happy. Show him me. By the gods I would fain see a Stoic. Nay you cannot show me a finished Stoic; then show me one in the moulding, one who has set his feet on the path”","Epictetus,",The Discourses of Epictetus : Classic Edition,"grit, hope, perseverance, stoicism, suffering, wisdom"
"“Well, when do we act like sheep: when we act for the sake of the belly, or of our sex-organs, or at random, or in a filthy fashion, or without due consideration, to what level have we degenerated? To the level of sheep.”","Epictetus,",Epictetus. The Discourses as Reported By Arrian. Vol. I. Books 1 and 2. With an English Translation By W. A. Oldfather,"ancient-greek, discourses, philosophy, pleasure, stoic, stoicism, virtue"
“Most of us would eventually lose count if we were to literally count our blessings.”,@Mokokoma Mokhonoana,N/A,"appreciation, count-your-blessings, grateful, gratitude, stoicism, ungrateful, wisdom, words-of-wisdom, words-to-live-by, words-to-remember"
“Like an attachment to a sparrow: we glimpse it and it’s gone.”,"Marcus Aurelius,",Meditations: A New Translation,"life, marcus-aurelius, rome, stoic, stoicism"
"“It is inevitable that life will be not just very short but very miserable for those who acquire by great toil what they must keep by greater toil. They achieve what they want laboriously; they possess what they have achieved anxiously; and meanwhile they take no account of time that will never more return. New preoccupations take the place of the old, hope excites more hope and ambition more ambition. They do not look for an end to their misery, but simply change the reason for it.”","Seneca,",On the Shortness of Life: Life Is Long if You Know How to Use It,stoicism
"“In a little while you too will close your eyes, and soon there will be others mourning the man who buries you.”","Marcus Aurelius,",Meditations,"death, stoicism"
"“Though you should be going to live three thousand years, and as many times ten thousand years, still remember that no man loses any other life than this which he now lives, nor lives any other than this which he now loses. The longest and shortest are thus brought to the same. For the present is the same to all, though that which perishes is not the same; and so that which is lost appears to be a mere moment. For a man cannot lose either the past or the future, for what a man has not, how can any one take this from him?”","Marcus Aurelius,",Meditations: A New Translation,"life, marcus-aurelius, rome, stoic, stoicism"
"“A guide, on finding a man who has lost his way, brings him back to the right path - he does not mock and jeer at him and then take himself off. You also must show the unlearned man the truth, and you will see that he will follow. But so long as you do not show it to him, you should not mock, but rather feel your own incapacity.”",Epictetus,N/A,"philosophy, stoicism"
“An apology is usually a disguised request for a key to the cage of guilt or regret.”,@Mokokoma Mokhonoana,N/A,"apologize, apology, guilt, guilty-conscience, pessimism, regret, selfish, selfishness, sorry, stoicism"
“To act wise isn’t to act wisely.”,@Mokokoma Mokhonoana,N/A,"act-smart, charlatan, pessimism, pretend-to-be-intelligent, pretend-to-be-smart, pretend-to-be-wise, pretense, stoicism, wisdom, wise"
“A cup with a broken handle can still handle its task.”,@Mokokoma Mokhonoana,N/A,"environmentalism, materialism, minimalism, minimalist, pessimism, philosophy, stoicism, waste, wisdom"
“Most people would rather have their remarks be misunderstood than be disagreed with.”,@Mokokoma Mokhonoana,N/A,"conformity, critical-thinking, free-speech, freedom-of-speech, independent-thinking, language, misunderstanding, pessimism, stoicism, understanding"
“Where is the harm or surprise in the ignorant behaving as the ignorant do?”,"Marcus Aurelius,",Meditations,stoicism
“What right hast thou to talk of ill of Fortune whilst keeping all Fortune's better gifts?”,"Boethius,",The Consolation of Philosophy,stoicism
"“Nature is content with few things, and with a very little of these.”","Boethius,",The Consolation of Philosophy,"nature, simplicity, stoicism"
"“At any moment we may be toppled from our perch and made to do with less—less money, less recognition, less access, less resources. Even the “less-es” that come with age: less mobility, less energy, less freedom. But we can prepare for that, in some way, by familiarizing ourselves with what that might feel like.”","Ryan Holiday,","The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living","quotes-of-wisdom, stoicism"
"“Cecilia, the youngest, only thirteen, had gone first, slitting her wrists like a Stoic while taking a bath, and when they found her, afloat in her pink pool, with the yellow eyes of someone possessed and her small body giving off the odor of a mature woman, the paramedics had been so frightened by her tranquillity that they had stood mesmerized.”","Jeffrey Eugenides, The Virgin Suicides",N/A,"calm, dark, self-harm, stoic, stoicism, suicide, teenager, tranquility"
“Precision of thought comes from a tranquil mindset. A presenter can have a competitive edge if they are unmoved by the jabs and provocations that are directed at them”,Josh King Madrid,N/A,"frame-control, jetset-life-hacks, jetsetfly, josh-king-madrid, public-speaking, reframing, stoicism, the-art-of-frame-control, tranquil-mindset"
"“Man, if you are anything, both walk alone and talk to yourself, and do not hide yourself in the chorus. Examine a little at last, look around, stir yourself up, that you may know who you are.”","Epictetus, Discourses",N/A,"epictetus, philosophy, solitary, stoicism"
